Timestamp,Heart Rate(bpm),HRV(ms)
Apr 18 2024  6:01:36,83,0
Apr 18 2024  6:01:39,81,0
Apr 18 2024  6:01:42,80,0
Apr 18 2024  6:01:45,81,0
Apr 18 2024  6:01:48,83,6.805
Apr 18 2024  6:01:51,77,25.24278954
Apr 18 2024  6:01:54,74,23.24349999
Apr 18 2024  6:01:57,80,27.22
Apr 18 2024  6:02:0,78,25.85676142
Apr 18 2024  6:02:3,81,24.38385066
Apr 18 2024  6:02:6,77,23.57321149
Apr 18 2024  6:02:9,74,22.47617527
Apr 18 2024  6:02:12,80,24.29871023
Apr 18 2024  6:02:15,83,23.36304494
Apr 18 2024  6:02:18,77,24.51651001
Apr 18 2024  6:02:21,81,23.76451328
Apr 18 2024  6:02:24,74,25.78670775
Apr 18 2024  6:02:27,78,25.03678911
Apr 18 2024  6:02:30,74,24.34865624
Apr 18 2024  6:02:33,86,34.5617729
Apr 18 2024  6:02:36,83,33.86128614
Apr 18 2024  6:02:39,91,34.92505804
Apr 18 2024  6:02:42,81,37.77229703
Apr 18 2024  6:02:45,80,38.23019485
Apr 18 2024  6:02:48,90,40.41438645
Apr 18 2024  6:02:51,87,39.8343101
Apr 18 2024  6:02:54,74,44.87442543
Apr 18 2024  6:02:57,84,45.95651931
Apr 18 2024  6:03:0,101,54.25741704
Apr 18 2024  6:03:3,77,70.37777681
Apr 18 2024  6:03:6,89,71.00093202
Apr 18 2024  6:03:9,91,70.5496932
Apr 18 2024  6:03:12,99,69.18150259
Apr 18 2024  6:03:15,80,74.39716245
Apr 18 2024  6:03:18,90,74.59820426
Apr 18 2024  6:03:21,88,75.02216148
Apr 18 2024  6:03:24,74,76.6485954
Apr 18 2024  6:03:27,84,75.39701105
Apr 18 2024  6:03:30,79,74.71031553
Apr 18 2024  6:03:33,86,74.03510143
Apr 18 2024  6:03:36,74,73.38969473
Apr 18 2024  6:03:39,94,78.42679982
Apr 18 2024  6:03:42,81,77.49449322
Apr 18 2024  6:03:45,93,77.28958637
Apr 18 2024  6:03:48,87,76.5335678
Apr 18 2024  6:03:51,101,76.99550772
Apr 18 2024  6:03:54,91,75.52251959
Apr 18 2024  6:03:57,101,73.91302702
Apr 18 2024  6:04:0,99,76.51917719
Apr 18 2024  6:04:3,88,74.46522263
Apr 18 2024  6:04:6,83,75.39116836
Apr 18 2024  6:04:9,74,75.43789722
Apr 18 2024  6:04:12,78,73.48566822
Apr 18 2024  6:04:15,81,75.59539387
Apr 18 2024  6:04:18,80,76.91250601
Apr 18 2024  6:04:21,74,77.03268635
Apr 18 2024  6:04:24,101,88.3525804
Apr 18 2024  6:04:27,90,86.63067271
Apr 18 2024  6:04:30,77,79.23982402
Apr 18 2024  6:04:33,97,83.18848548
Apr 18 2024  6:04:36,101,82.12260564
Apr 18 2024  6:04:39,101,85.65138802
Apr 18 2024  6:04:42,61,112.0836517
Apr 18 2024  6:04:45,88,119.4263432
Apr 18 2024  6:04:48,59,125.1642859
